Row Labels,Sum of acres,Sum of deaths
Human Related,1474373,25
Los Angeles,160557,2
San Diego,273246,15
Santa Barbara,240207,0
"Shasta County,Trinity County",229651,8
Tulare,150696,0
Tuolumne,257314,0
Ventura,162702,0
Lightning,1243184,3
Fresno,151623,0
Lassen,271911,0
Monterey,340684,0
Siskiyou,192038,2
Trinity,140948,0
Tuolumne,145980,1
Powerlines,808644,94
Butte,153336,85
San Diego,373415,7
Ventura & Santa Barbara,281893,2
Under Investigation,459123,1
"Colusa County, Lake County, Mendocino County & Glenn County",459123,1
Undetermined,220000,0
Ventura,220000,0
Grand Total,4205324,123
